# Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.5	5.1	90.2	0.1	-0.6	0.0	0.0
1.5	5.5	85.9	-0.2	-0.4	0.0	0.0
2.5	5.3	85.9	-0.5	-0.2	0.0	0.0
3.5	5.2	85.9	-0.5	0.0	0.0	0.0
4.5	5.1	80.2	-0.5	-0.1	0.0	0.0
5.5	5.0	81.6	-0.5	-0.2	0.0	0.0
6.5	4.9	86.0	-0.4	-0.3	0.0	0.0
7.5	4.9	79.2	-0.5	-0.3	0.0	0.2
8.5	5.1	79.2	-0.3	-0.4	0.0	9.5
9.5	5.4	78.8	-0.7	-0.2	0.0	24.5
10.5	5.6	85.9	0.4	-0.5	0.0	38.6
11.5	5.9	72.9	-0.5	-0.5	0.0	50.2
12.5	6.1	72.9	-0.1	-0.7	0.0	48.5
13.5	6.1	71.9	0.7	-0.2	0.0	40.1
14.5	6.1	73.0	0.4	-0.6	0.0	26.7
15.5	5.9	85.9	-0.5	-0.6	0.0	10.5
16.5	5.6	85.9	0.7	0.1	0.0	0.3
17.5	5.3	85.9	-0.3	-0.8	0.0	0.0
18.5	4.9	89.2	0.4	-0.6	0.0	0.0
19.5	5.0	86.0	-0.1	-0.7	0.0	0.0
20.5	4.6	89.2	-0.3	-0.6	0.0	0.0
21.5	4.5	86.0	0.2	-0.6	0.0	0.0
22.5	4.4	86.0	-0.3	-0.4	0.0	0.0
23.5	4.3	89.2	-0.3	-0.4	0.0	0.0
24.5	3.8	89.3	-0.5	-0.2	0.0	0.0
25.5	3.3	89.3	-0.4	-0.5	0.0	0.0
26.5	2.9	89.3	-0.1	-0.8	0.0	0.0
27.5	2.6	89.3	0.6	0.3	0.0	0.0
28.5	2.4	89.6	0.5	-0.6	0.0	0.0
29.5	2.3	90.3	0.8	0.1	0.0	0.0
30.5	2.1	89.4	0.5	-0.6	0.0	0.0
31.5	2.1	89.4	0.5	-0.3	0.0	0.2
32.5	2.9	89.3	-0.4	-0.5	80.3	34.1
33.5	3.8	76.0	0.0	-0.6	19.6	80.0
34.5	4.8	72.8	-0.1	-0.7	61.5	126.3
35.5	5.4	72.6	-0.3	-0.5	17.1	138.7
36.5	5.7	70.6	-0.5	-0.5	7.9	125.3
37.5	5.3	71.5	-0.2	-0.7	0.0	48.1
38.5	4.9	75.6	0.3	-0.5	0.0	35.8
39.5	4.4	78.0	-0.3	-0.7	0.0	17.6
40.5	3.9	80.0	-0.3	-0.7	0.0	0.2
41.5	3.6	84.3	-0.5	-0.4	0.0	0.0
42.5	3.2	80.4	-0.1	-0.5	0.0	0.0
43.5	2.8	82.7	-0.3	-0.4	0.0	0.0
44.5	2.4	88.9	-0.3	-0.1	0.0	0.0
45.5	2.0	92.8	-0.3	0.1	0.0	0.0
46.5	1.6	91.4	-0.2	0.0	0.0	0.0
47.5	1.2	94.6	-0.1	0.1	0.0	0.0
48.5	0.8	99.0	0.0	0.0	0.0	0.0
49.5	0.4	100.0	0.0	0.0	0.0	0.0
50.5	0.0	98.5	-0.1	0.1	0.0	0.0
51.5	-0.3	99.5	0.0	0.0	0.0	0.0
52.5	-0.5	100.0	0.0	0.0	0.0	0.0
53.5	-0.6	98.5	0.0	0.0	0.0	0.0
54.5	-0.8	100.0	0.0	0.0	0.0	0.0
55.5	-0.8	100.0	0.0	0.0	0.0	0.2
56.5	1.4	96.4	0.0	0.0	420.5	29.3
57.5	4.5	84.8	0.0	0.0	662.8	40.1
58.5	7.5	69.5	-0.1	0.0	781.9	45.5
59.5	10.1	60.9	0.0	-0.1	837.0	48.4
60.5	11.8	56.1	-0.1	-0.1	833.6	47.8
61.5	12.4	55.6	0.0	-0.1	765.8	46.4
62.5	12.1	55.8	-0.1	-0.1	662.6	40.7
63.5	10.5	57.3	-0.1	0.0	424.2	31.4
64.5	8.4	63.8	-0.2	-0.1	0.0	0.3
65.5	7.5	68.2	-0.1	-0.3	0.0	0.0
66.5	6.5	73.8	0.1	0.3	0.0	0.0
67.5	5.5	75.5	0.1	0.3	0.0	0.0
68.5	4.6	80.5	0.2	-0.3	0.0	0.0
69.5	3.6	85.0	0.2	-0.2	0.0	0.0
70.5	2.6	88.8	0.2	-0.2	0.0	0.0
71.5	1.7	92.2	0.3	-0.1	0.0	0.0
72.5	0.8	91.6	0.2	-0.2	0.0	0.0
73.5	-0.2	93.9	0.2	-0.3	0.0	0.0
74.5	-1.1	94.1	0.3	-0.2	0.0	0.0
75.5	-1.6	95.8	0.5	-0.2	0.0	0.0
76.5	-2.2	99.2	0.6	0.1	0.0	0.0
77.5	-2.5	99.1	0.2	0.5	0.0	0.0
78.5	-2.9	99.8	0.3	-0.2	0.0	0.0
79.5	-2.9	99.2	-0.1	-0.3	0.0	0.1
80.5	-2.8	98.5	-0.2	-0.2	0.0	5.6
81.5	-0.5	92.7	-0.1	-0.2	342.6	92.4
82.5	1.6	85.3	-0.3	0.0	606.3	66.4
83.5	3.2	78.5	-0.1	-0.2	515.5	113.5
84.5	3.6	77.7	-0.3	0.0	170.1	143.7
85.5	3.9	78.1	-0.1	-0.2	303.6	113.3
86.5	3.4	77.1	-0.1	0.0	114.7	94.8
87.5	2.5	79.6	-0.1	0.0	149.4	36.3
88.5	1.4	80.2	-0.2	0.0	0.0	0.3
89.5	0.9	85.9	-0.1	-0.1	0.0	0.0
90.5	0.4	91.8	-0.1	-0.2	0.0	0.0
91.5	-0.1	91.9	-0.1	-0.3	0.0	0.0
92.5	-0.6	94.4	-0.1	-0.2	0.0	0.0
93.5	-1.1	94.5	-0.3	0.0	0.0	0.0
94.5	-1.6	94.5	-0.2	-0.1	0.0	0.0
95.5	-2.1	98.6	-0.1	-0.2	0.0	0.0
96.5	-2.4	93.8	-0.1	-0.3	0.0	0.0
97.5	-2.6	92.7	0.4	-0.3	0.0	0.0
98.5	-2.9	93.6	0.2	0.2	0.0	0.0
99.5	-3.0	92.1	0.2	-0.2	0.0	0.0
100.5	-3.1	92.2	-0.1	-0.5	0.0	0.0
101.5	-3.2	94.5	0.5	0.0	0.0	0.0
102.5	-3.3	91.9	0.3	-0.4	0.0	0.0
103.5	-3.2	90.6	0.3	0.0	0.0	0.2
104.5	-2.1	87.4	-0.2	-0.2	68.3	38.1
105.5	-0.7	81.9	-0.1	-0.3	98.2	90.4
106.5	0.9	76.8	-0.2	-0.2	168.9	135.9
107.5	2.2	73.4	-0.1	-0.2	128.2	167.4
108.5	3.0	68.4	-0.2	0.0	179.4	150.4
109.5	2.9	71.0	-0.3	0.0	11.8	114.6
110.5	2.2	72.3	-0.2	-0.2	0.0	56.7
111.5	1.3	76.8	-0.2	-0.2	0.0	6.7
112.5	0.4	77.0	-0.2	-0.2	0.0	0.4
113.5	0.2	75.1	-0.1	-0.5	0.0	0.0
114.5	0.0	74.9	0.5	0.1	0.0	0.0
115.5	-0.2	75.8	0.3	-0.1	0.0	0.0
116.5	-0.4	78.6	-0.2	-0.4	0.0	0.0
117.5	-0.6	78.5	0.3	-0.4	0.0	0.0
118.5	-0.8	77.8	0.4	-0.3	0.0	0.0
119.5	-1.0	79.1	0.1	-0.5	0.0	0.0
120.5	-1.4	77.5	0.5	-0.5	0.0	0.0
121.5	-1.7	75.5	0.2	0.7	0.0	0.0
122.5	-2.1	86.6	0.5	0.5	0.0	0.0
123.5	-2.5	89.7	0.5	0.5	0.0	0.0
124.5	-2.4	86.6	0.3	0.6	0.0	0.0
125.5	-2.5	89.7	0.1	0.7	0.0	0.0
126.5	-2.6	89.7	0.7	0.1	0.0	0.0
127.5	-2.6	89.7	0.7	0.0	0.0	0.1
128.5	-2.3	89.7	0.6	0.4	0.0	15.1
129.5	-1.8	86.5	0.6	0.2	0.0	39.9
130.5	-1.4	86.5	-0.3	-0.5	0.0	54.5
131.5	-1.0	86.5	-0.4	-0.6	0.0	73.9
132.5	-0.8	86.4	0.3	-0.7	0.0	73.7
133.5	-0.6	86.4	0.5	0.9	0.0	63.3
134.5	-0.7	86.4	0.7	0.7	0.0	44.8
135.5	-0.9	73.4	-0.3	1.0	0.0	18.5
136.5	-1.2	86.5	0.2	0.7	0.0	0.4
137.5	-1.5	86.5	-0.3	-0.4	0.0	0.0
